"Year","Fruit","District","Production","Extent"
2001,"Oranges","Colombo",53,18
2001,"Oranges","Gampaha",107,33
2001,"Oranges","Kaluthara",285,74
2001,"Oranges","Kandy",245,106
2001,"Oranges","Matale",1440,271
2001,"Oranges","Nuwara Eliya",825,89
2001,"Oranges","Galle",253,57
2001,"Oranges","Matara",262,61
2001,"Oranges","Hanbantota",450,93
2001,"Oranges","Jaffna",34,33
2001,"Oranges","Mannar",18,4
2001,"Oranges","Vavuniya",109,15
2001,"Oranges","Kilinochchi",20,7
2001,"Oranges","Batticaloa",387,61
2001,"Oranges","Ampara",2161,282
2001,"Oranges","Trincomalee",98,22
2001,"Oranges","Kurunegala",6729,618
2001,"Oranges","Puttalam",1361,172
2001,"Oranges","Anuradhapura",1196,221
2001,"Oranges","Polonnaruwa",1118,210
2001,"Oranges","Badulla",2142,238
2001,"Oranges","Monaragala",4944,423
2001,"Oranges","Ratnapura",1565,265
2001,"Oranges","Kegalle",150,48
2002,"Oranges","Colombo",52,19
2002,"Oranges","Gampaha",151,34
2002,"Oranges","Kaluthara",236,61
2002,"Oranges","Kandy",275,119
2002,"Oranges","Matale",1469,273
2002,"Oranges","Nuwara Eliya",1075,115
2002,"Oranges","Galle",270,57
2002,"Oranges","Matara",253,61
2002,"Oranges","Hanbantota",828,198
2002,"Oranges","Jaffna",43,38
2002,"Oranges","Mannar",54,13
2002,"Oranges","Vavuniya",117,17
2002,"Oranges","Kilinochchi",20,7
2002,"Oranges","Batticaloa",389,61
2002,"Oranges","Ampara",2060,266
2002,"Oranges","Trincomalee",141,33
2002,"Oranges","Kurunegala",6682,619
2002,"Oranges","Puttalam",1362,170
2002,"Oranges","Anuradhapura",1608,321
2002,"Oranges","Polonnaruwa",1211,214
2002,"Oranges","Badulla",2223,245
2002,"Oranges","Monaragala",4983,458
2002,"Oranges","Ratnapura",1730,359
2002,"Oranges","Kegalle",159,47
2003,"Oranges","Colombo",95,25
2003,"Oranges","Gampaha",117,31
2003,"Oranges","Kaluthara",207,55
2003,"Oranges","Kandy",298,137
2003,"Oranges","Matale",1262,255
2003,"Oranges","Nuwara Eliya",1153,122
2003,"Oranges","Galle",353,77
2003,"Oranges","Matara",616,180
2003,"Oranges","Hanbantota",914,166
2003,"Oranges","Jaffna",251,51
2003,"Oranges","Mannar",39,11
2003,"Oranges","Vavuniya",125,17
2003,"Oranges","Mullativu",400,45
2003,"Oranges","Kilinochchi",88,10
2003,"Oranges","Batticaloa",515,78
2003,"Oranges","Ampara",1316,175
2003,"Oranges","Trincomalee",153,34
2003,"Oranges","Kurunegala",5654,611
2003,"Oranges","Puttalam",891,192
2003,"Oranges","Anuradhapura",1986,397
2003,"Oranges","Polonnaruwa",1326,214
2003,"Oranges","Badulla",2256,253
2003,"Oranges","Monaragala",3070,315
2003,"Oranges","Ratnapura",1255,297
2003,"Oranges","Kegalle",190,69
2004,"Oranges","Colombo",24,6
2004,"Oranges","Gampaha",148,37
2004,"Oranges","Kaluthara",146,41
2004,"Oranges","Kandy",366,194
2004,"Oranges","Matale",1134,234
2004,"Oranges","Nuwara Eliya",1094,119
2004,"Oranges","Galle",298,63
2004,"Oranges","Matara",348,147
2004,"Oranges","Hanbantota",947,181
2004,"Oranges","Jaffna",250,51
2004,"Oranges","Mannar",62,13
2004,"Oranges","Vavuniya",155,18
2004,"Oranges","Mullativu",660,45
2004,"Oranges","Kilinochchi",85,10
2004,"Oranges","Batticaloa",518,83
2004,"Oranges","Ampara",891,135
2004,"Oranges","Trincomalee",153,34
2004,"Oranges","Kurunegala",5644,616
2004,"Oranges","Puttalam",1153,278
2004,"Oranges","Anuradhapura",1918,397
2004,"Oranges","Polonnaruwa",942,232
2004,"Oranges","Badulla",4751,433
2004,"Oranges","Monaragala",3750,294
2004,"Oranges","Ratnapura",1373,279
2004,"Oranges","Kegalle",217,67
2005,"Oranges","Colombo",67,18
2005,"Oranges","Gampaha",202,50
2005,"Oranges","Kaluthara",208,61
2005,"Oranges","Kandy",379,215
2005,"Oranges","Matale",1296,261
2005,"Oranges","Nuwara Eliya",1135,111
2005,"Oranges","Galle",351,61
2005,"Oranges","Matara",234,116
2005,"Oranges","Hanbantota",755,152
2005,"Oranges","Jaffna",310,40
2005,"Oranges","Mannar",53,14
2005,"Oranges","Vavuniya",454,61
2005,"Oranges","Mullativu",675,46
2005,"Oranges","Kilinochchi",85,10
2005,"Oranges","Batticaloa",375,68
2005,"Oranges","Ampara",755,129
2005,"Oranges","Trincomalee",199,62
2005,"Oranges","Kurunegala",5402,605
2005,"Oranges","Puttalam",2074,344
2005,"Oranges","Anuradhapura",3074,707
2005,"Oranges","Polonnaruwa",1056,243
2005,"Oranges","Badulla",5153,429
2005,"Oranges","Monaragala",3839,305
2005,"Oranges","Ratnapura",984,224
2005,"Oranges","Kegalle",142,56
2006,"Oranges","Colombo",128,21
2006,"Oranges","Gampaha",171,52
2006,"Oranges","Kaluthara",200,59
2006,"Oranges","Kandy",341,201
2006,"Oranges","Matale",1468,289
2006,"Oranges","Nuwara Eliya",1052,111
2006,"Oranges","Galle",328,69
2006,"Oranges","Matara",225,94
2006,"Oranges","Hanbantota",739,118
2006,"Oranges","Jaffna",300,38
2006,"Oranges","Mannar",53,14
2006,"Oranges","Vavuniya",337,45
2006,"Oranges","Mullativu",791,48
2006,"Oranges","Kilinochchi",85,10
2006,"Oranges","Batticaloa",481,73
2006,"Oranges","Ampara",717,160
2006,"Oranges","Trincomalee",212,63
2006,"Oranges","Kurunegala",4524,543
2006,"Oranges","Puttalam",2074,344
2006,"Oranges","Anuradhapura",3072,547
2006,"Oranges","Polonnaruwa",1194,248
2006,"Oranges","Badulla",5782,473
2006,"Oranges","Monaragala",4613,375
2006,"Oranges","Ratnapura",848,193
2006,"Oranges","Kegalle",146,56
2007,"Oranges","Colombo",94,16
2007,"Oranges","Gampaha",252,66
2007,"Oranges","Kaluthara",218,72
2007,"Oranges","Kandy",773,156
2007,"Oranges","Matale",1617,299
2007,"Oranges","Nuwara Eliya",1089,130
2007,"Oranges","Galle",178,67
2007,"Oranges","Matara",156,80
2007,"Oranges","Hanbantota",691,120
2007,"Oranges","Jaffna",300,38
2007,"Oranges","Mannar",33,7
2007,"Oranges","Vavuniya",85,28
2007,"Oranges","Mullativu",791,48
2007,"Oranges","Kilinochchi",85,10
2007,"Oranges","Batticaloa",240,52
2007,"Oranges","Ampara",969,186
2007,"Oranges","Trincomalee",397,85
2007,"Oranges","Kurunegala",4171,564
2007,"Oranges","Puttalam",2486,431
2007,"Oranges","Anuradhapura",3343,611
2007,"Oranges","Polonnaruwa",1202,252
2007,"Oranges","Badulla",5718,479
2007,"Oranges","Monaragala",5593,443
2007,"Oranges","Ratnapura",984,231
2007,"Oranges","Kegalle",143,54
2008,"Oranges","Colombo",84,15
2008,"Oranges","Gampaha",452,88
2008,"Oranges","Kaluthara",137,54
2008,"Oranges","Kandy",690,241
2008,"Oranges","Matale",1932,290
2008,"Oranges","Nuwara Eliya",2357,192
2008,"Oranges","Galle",219,112
2008,"Oranges","Matara",711,77
2008,"Oranges","Hanbantota",1255,190
2008,"Oranges","Jaffna",300,38
2008,"Oranges","Mannar",32,8
2008,"Oranges","Vavuniya",104,34
2008,"Oranges","Mullativu",100,19
2008,"Oranges","Kilinochchi",17,4
2008,"Oranges","Batticaloa",297,63
2008,"Oranges","Ampara",677,384
2008,"Oranges","Trincomalee",421,85
2008,"Oranges","Kurunegala",3177,435
2008,"Oranges","Puttalam",1602,504
2008,"Oranges","Anuradhapura",1950,561
2008,"Oranges","Polonnaruwa",1274,295
2008,"Oranges","Badulla",5869,489
2008,"Oranges","Monaragala",3786,599
2008,"Oranges","Ratnapura",900,239
2008,"Oranges","Kegalle",127,72
2010,"Oranges","Colombo",136,23
2010,"Oranges","Gampaha",258,70
2010,"Oranges","Kaluthara",107,48
2010,"Oranges","Kandy",718,253
2010,"Oranges","Matale",1972,326
2010,"Oranges","Nuwara Eliya",1625,147
2010,"Oranges","Galle",279,152
2010,"Oranges","Matara",328,57
2010,"Oranges","Hanbantota",1496,287
2010,"Oranges","Jaffna",167,38
2010,"Oranges","Mannar",141,75
2010,"Oranges","Vavuniya",6,6
2010,"Oranges","Mullativu",0,0
2010,"Oranges","Kilinochchi",62,12
2010,"Oranges","Batticaloa",304,66
2010,"Oranges","Ampara",2052,280
2010,"Oranges","Trincomalee",459,86
2010,"Oranges","Kurunegala",3596,608
2010,"Oranges","Puttalam",2533,480
2010,"Oranges","Anuradhapura",3133,707
2010,"Oranges","Polonnaruwa",1574,352
2010,"Oranges","Badulla",5989,540
2010,"Oranges","Monaragala",6321,651
2010,"Oranges","Ratnapura",1060,241
2010,"Oranges","Kegalle",118,69
2011,"Oranges","Colombo",136,23
2011,"Oranges","Gampaha",339,80
2011,"Oranges","Kaluthara",133,50
2011,"Oranges","Kandy",820,280
2011,"Oranges","Matale",1972,326
2011,"Oranges","Nuwara Eliya",1363,138
2011,"Oranges","Galle",305,138
2011,"Oranges","Matara",450,77
2011,"Oranges","Hanbantota",1540,336
2011,"Oranges","Jaffna",142,49
2011,"Oranges","Mannar",222,84
2011,"Oranges","Vavuniya",6,7
2011,"Oranges","Mullativu",122,14
2011,"Oranges","Kilinochchi",67,16
2011,"Oranges","Batticaloa",312,68
2011,"Oranges","Ampara",2816,292
2011,"Oranges","Trincomalee",453,89
2011,"Oranges","Kurunegala",3564,691
2011,"Oranges","Puttalam",2228,479
2011,"Oranges","Anuradhapura",3579,837
2011,"Oranges","Polonnaruwa",1946,347
2011,"Oranges","Badulla",6137,581
2011,"Oranges","Monaragala",6321,651
2011,"Oranges","Ratnapura",1068,238
2011,"Oranges","Kegalle",121,62
2012,"Oranges","Colombo",141,29
2012,"Oranges","Gampaha",319,138
2012,"Oranges","Kaluthara",132,49
2012,"Oranges","Kandy",603,268
2012,"Oranges","Matale",1375,277
2012,"Oranges","Nuwara Eliya",1434,157
